###################### UltraGCN ######################
1. Loading Configuration...
load path = ./electronics_ii_constraint_mat object
load path = ./electronics_ii_neighbor_mat object
Load Configuration OK, show them below
Loss = 210.30611, F1-score: 0.032823 	 Precision: 0.01868	 Recall: 0.13535	NDCG: 0.08083
The time for epoch 305 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 206.83716, F1-score: 0.032829 	 Precision: 0.01868	 Recall: 0.13557	NDCG: 0.08125
The time for epoch 306 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 206.66246, F1-score: 0.033018 	 Precision: 0.01878	 Recall: 0.13648	NDCG: 0.08183
The time for epoch 307 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 208.51439, F1-score: 0.032697 	 Precision: 0.01861	 Recall: 0.13472	NDCG: 0.08156
The time for epoch 308 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 206.28400, F1-score: 0.032631 	 Precision: 0.01857	 Recall: 0.13432	NDCG: 0.08155
The time for epoch 309 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 200.91974, F1-score: 0.032694 	 Precision: 0.01861	 Recall: 0.13462	NDCG: 0.08186
The time for epoch 310 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 201.61220, F1-score: 0.033028 	 Precision: 0.01878	 Recall: 0.13683	NDCG: 0.08285
The time for epoch 311 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 196.80103, F1-score: 0.032716 	 Precision: 0.01861	 Recall: 0.13537	NDCG: 0.08285
The time for epoch 312 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 199.78529, F1-score: 0.032449 	 Precision: 0.01847	 Recall: 0.13363	NDCG: 0.08198
The time for epoch 313 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 196.13338, F1-score: 0.032383 	 Precision: 0.01843	 Recall: 0.13319	NDCG: 0.08173
The time for epoch 314 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 192.92116, F1-score: 0.032526 	 Precision: 0.01850	 Recall: 0.13441	NDCG: 0.08171
The time for epoch 315 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 191.47200, F1-score: 0.032677 	 Precision: 0.01861	 Recall: 0.13405	NDCG: 0.08163
The time for epoch 316 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 194.99203, F1-score: 0.032939 	 Precision: 0.01875	 Recall: 0.13564	NDCG: 0.08210
The time for epoch 317 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 190.97472, F1-score: 0.032561 	 Precision: 0.01854	 Recall: 0.13378	NDCG: 0.08145
The time for epoch 318 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 188.25484, F1-score: 0.032700 	 Precision: 0.01861	 Recall: 0.13482	NDCG: 0.08155
The time for epoch 319 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 186.58264, F1-score: 0.032685 	 Precision: 0.01861	 Recall: 0.13434	NDCG: 0.08106
The time for epoch 320 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 181.82184, F1-score: 0.032481 	 Precision: 0.01850	 Recall: 0.13289	NDCG: 0.08041
The time for epoch 321 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 183.11710, F1-score: 0.032550 	 Precision: 0.01854	 Recall: 0.13339	NDCG: 0.08021
The time for epoch 322 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 179.23000, F1-score: 0.032430 	 Precision: 0.01847	 Recall: 0.13296	NDCG: 0.08011
The time for epoch 323 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 176.94046, F1-score: 0.032370 	 Precision: 0.01843	 Recall: 0.13275	NDCG: 0.07993
The time for epoch 324 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 176.69652, F1-score: 0.031925 	 Precision: 0.01819	 Recall: 0.13046	NDCG: 0.07903
The time for epoch 325 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 171.10252, F1-score: 0.031837 	 Precision: 0.01815	 Recall: 0.12930	NDCG: 0.07895
The time for epoch 326 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 169.21535, F1-score: 0.031908 	 Precision: 0.01819	 Recall: 0.12987	NDCG: 0.07884
The time for epoch 327 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 169.16731, F1-score: 0.031693 	 Precision: 0.01805	 Recall: 0.12987	NDCG: 0.07848
The time for epoch 328 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 166.80124, F1-score: 0.031375 	 Precision: 0.01787	 Recall: 0.12823	NDCG: 0.07768
The time for epoch 329 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 161.52255, F1-score: 0.031530 	 Precision: 0.01798	 Recall: 0.12802	NDCG: 0.07710
The time for epoch 330 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 160.96094, F1-score: 0.031355 	 Precision: 0.01787	 Recall: 0.12756	NDCG: 0.07733
The time for epoch 331 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 157.88774, F1-score: 0.031229 	 Precision: 0.01780	 Recall: 0.12691	NDCG: 0.07750
The time for epoch 332 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 155.74721, F1-score: 0.031175 	 Precision: 0.01777	 Recall: 0.12691	NDCG: 0.07738
The time for epoch 333 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 154.49652, F1-score: 0.030929 	 Precision: 0.01763	 Recall: 0.12586	NDCG: 0.07644
The time for epoch 334 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 155.15157, F1-score: 0.031030 	 Precision: 0.01770	 Recall: 0.12565	NDCG: 0.07573
The time for epoch 335 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 150.97318, F1-score: 0.030865 	 Precision: 0.01760	 Recall: 0.12553	NDCG: 0.07556
The time for epoch 336 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 152.37766, F1-score: 0.030815 	 Precision: 0.01756	 Recall: 0.12565	NDCG: 0.07527
The time for epoch 337 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 146.29514, F1-score: 0.030915 	 Precision: 0.01763	 Recall: 0.12539	NDCG: 0.07475
The time for epoch 338 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 146.30655, F1-score: 0.030905 	 Precision: 0.01763	 Recall: 0.12507	NDCG: 0.07472
The time for epoch 339 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 143.13283, F1-score: 0.030291 	 Precision: 0.01728	 Recall: 0.12250	NDCG: 0.07379
The time for epoch 340 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 142.84877, F1-score: 0.030381 	 Precision: 0.01732	 Recall: 0.12370	NDCG: 0.07334
The time for epoch 341 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 138.89090, F1-score: 0.029953 	 Precision: 0.01707	 Recall: 0.12194	NDCG: 0.07230
The time for epoch 342 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 143.18039, F1-score: 0.029704 	 Precision: 0.01693	 Recall: 0.12081	NDCG: 0.07175
The time for epoch 343 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 133.31259, F1-score: 0.029888 	 Precision: 0.01704	 Recall: 0.12157	NDCG: 0.07192
The time for epoch 344 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 136.87279, F1-score: 0.029839 	 Precision: 0.01700	 Recall: 0.12172	NDCG: 0.07156
The time for epoch 345 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 130.15030, F1-score: 0.029603 	 Precision: 0.01686	 Recall: 0.12101	NDCG: 0.07114
The time for epoch 346 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 130.15309, F1-score: 0.029815 	 Precision: 0.01700	 Recall: 0.12093	NDCG: 0.07133
The time for epoch 347 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 125.55536, F1-score: 0.029392 	 Precision: 0.01676	 Recall: 0.11936	NDCG: 0.07004
The time for epoch 348 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 125.38191, F1-score: 0.028933 	 Precision: 0.01652	 Recall: 0.11661	NDCG: 0.06905
The time for epoch 349 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 123.82457, F1-score: 0.029057 	 Precision: 0.01659	 Recall: 0.11716	NDCG: 0.06943
The time for epoch 350 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 122.90924, F1-score: 0.028897 	 Precision: 0.01648	 Recall: 0.11718	NDCG: 0.06928
The time for epoch 351 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 121.75815, F1-score: 0.028434 	 Precision: 0.01624	 Recall: 0.11428	NDCG: 0.06788
The time for epoch 352 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 121.42481, F1-score: 0.028482 	 Precision: 0.01627	 Recall: 0.11412	NDCG: 0.06783
The time for epoch 353 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 116.36924, F1-score: 0.027894 	 Precision: 0.01592	 Recall: 0.11237	NDCG: 0.06691
The time for epoch 354 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 115.87682, F1-score: 0.028126 	 Precision: 0.01606	 Recall: 0.11295	NDCG: 0.06625
The time for epoch 355 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 116.22459, F1-score: 0.028061 	 Precision: 0.01603	 Recall: 0.11260	NDCG: 0.06614
The time for epoch 356 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 112.79930, F1-score: 0.027686 	 Precision: 0.01582	 Recall: 0.11084	NDCG: 0.06533
The time for epoch 357 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 106.54139, F1-score: 0.027643 	 Precision: 0.01578	 Recall: 0.11115	NDCG: 0.06490
The time for epoch 358 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 109.84360, F1-score: 0.027388 	 Precision: 0.01564	 Recall: 0.10984	NDCG: 0.06426
The time for epoch 359 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 108.80411, F1-score: 0.026938 	 Precision: 0.01540	 Recall: 0.10738	NDCG: 0.06353
The time for epoch 360 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 108.21702, F1-score: 0.026715 	 Precision: 0.01526	 Recall: 0.10707	NDCG: 0.06309
The time for epoch 361 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 104.88312, F1-score: 0.026216 	 Precision: 0.01498	 Recall: 0.10478	NDCG: 0.06183
The time for epoch 362 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 103.86857, F1-score: 0.026120 	 Precision: 0.01491	 Recall: 0.10512	NDCG: 0.06140
The time for epoch 363 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 104.33599, F1-score: 0.026168 	 Precision: 0.01495	 Recall: 0.10493	NDCG: 0.06137
The time for epoch 364 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 102.25384, F1-score: 0.025951 	 Precision: 0.01484	 Recall: 0.10311	NDCG: 0.06079
The time for epoch 365 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 100.90456, F1-score: 0.025698 	 Precision: 0.01467	 Recall: 0.10357	NDCG: 0.06052

The best result:
The time for epoch 310 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 201.61220, F1-score: 0.033028 	 Precision: 0.01878	 Recall: 0.13683	NDCG: 0.08285
